[2026-01-07 16:22:10] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2026'), ('type', 'inter'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-01-07 16:33:32] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2026'), ('type', 'inter'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-01-07 16:44:49] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2026'), ('type', 'inter'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-01-07 16:47:11] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2026'), ('type', 'inter'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-01-07 16:51:47] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2026'), ('type', 'inter'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-01-07 16:53:53] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2026'), ('type', 'inter'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-01-07 16:57:08] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2026'), ('type', 'inter'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-01-07 16:57:50] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2026'), ('type', 'inter'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-01-07 17:00:44] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2026'), ('type', 'inter'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-01-07 17:23:15] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2026'), ('type', 'inter'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-01-07 17:24:16] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2026'), ('type', 'inter'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-01-07 17:24:34] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2026'), ('type', 'intra'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-01-07 17:27:54] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2026'), ('type', 'intra'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-01-07 17:27:58] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2026'), ('type', 'intra'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-01-07 17:27:59] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2026'), ('type', 'intra'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-01-07 17:28:00] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2026'), ('type', 'intra'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-01-07 17:28:01] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2026'), ('type', 'intra'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-01-07 17:28:14] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2026'), ('type', 'inter'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-01-07 17:28:20] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2026'), ('type', 'inter'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-01-07 17:28:47] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2026'), ('type', 'inter'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-01-07 17:28:50] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2026'), ('type', 'inter'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-01-07 17:28:51] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2026'), ('type', 'inter'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-01-07 17:28:53] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2026'), ('type', 'inter'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-01-07 17:28:54] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2026'), ('type', 'inter'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-01-07 17:28:54] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2026'), ('type', 'inter'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-01-07 17:28:55] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2026'), ('type', 'inter'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-01-07 17:29:04] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2026'), ('type', 'inter'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-01-07 17:30:54] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2026'), ('type', 'inter'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-01-07 17:30:55] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2026'), ('type', 'inter'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-01-07 17:31:29] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2026'), ('type', 'inter'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-01-07 17:32:42] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2026'), ('type', 'inter'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-01-07 18:45:25] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2026'), ('type', 'inter'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-01-07 18:46:26] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2026'), ('type', 'inter'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-01-07 18:55:43] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2026'), ('type', 'inter'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-01-07 19:00:49] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2026'), ('type', 'inter'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-01-07 19:17:43] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2026'), ('type', 'inter'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-01-07 19:21:28] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2026'), ('type', 'inter'), ('applicable', 'feb'), ('username', 'admin@pds')])
