[2026-01-08 11:11:49] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2026'), ('type', 'inter'), ('applicable', 'feb'), ('username', 'fci@pds')])
[2026-01-08 14:11:33] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2026'), ('type', 'intra'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-01-08 14:13:40] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2026'), ('type', 'intra'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-01-08 14:15:48] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2026'), ('type', 'intra'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-01-08 14:15:54] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2026'), ('type', 'intra'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-01-08 14:16:07] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2026'), ('type', 'intra'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-01-08 14:17:20] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2026'), ('type', 'intra'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-01-08 15:18:06] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2026'), ('type', 'intra'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-01-08 15:19:08] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2026'), ('type', 'intra'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-01-08 15:20:27] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2026'), ('type', 'intra'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-01-08 15:26:24] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2026'), ('type', 'intra'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-01-08 15:27:10] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2026'), ('type', 'intra'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-01-08 16:11:44] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2026'), ('type', 'intra'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-01-08 16:12:42] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2026'), ('type', 'intra'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-01-08 16:12:58] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2026'), ('type', 'intra'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-01-08 16:13:44] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2026'), ('type', 'intra'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-01-08 16:14:01] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2026'), ('type', 'intra'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-01-08 16:15:26] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2026'), ('type', 'intra'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-01-08 16:38:12] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2026'), ('type', 'intra'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-01-08 16:39:26] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2026'), ('type', 'intra'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-01-08 16:43:46] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2026'), ('type', 'intra'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-01-08 16:50:06] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2026'), ('type', 'intra'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-01-08 16:53:41] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2026'), ('type', 'intra'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-01-08 16:58:45] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2026'), ('type', 'intra'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-01-08 17:07:09] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2026'), ('type', 'intra'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-01-08 17:18:45] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2026'), ('type', 'inter'), ('applicable', 'feb'), ('username', 'admin@pds')])
[2026-01-08 17:46:12] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'jan'), ('year', '2026'), ('type', 'intra'), ('applicable', 'feb'), ('username', 'admin@pds')])
