[2026-02-16 20:10:23] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('type', 'inter'), ('applicable', 'feb'), ('username', 'Admin@pds')])
[2026-02-16 20:16:22] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('type', 'intra'), ('applicable', 'feb'), ('username', 'Admin@pds')])
[2026-02-16 20:24:23] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('type', 'intra'), ('applicable', 'feb'), ('username', 'Admin@pds')])
[2026-02-16 20:27:18] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('type', 'intra'), ('applicable', 'feb'), ('username', 'Admin@pds')])
[2026-02-16 20:34:39] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('type', 'intra'), ('applicable', 'feb'), ('username', 'Admin@pds')])
[2026-02-16 20:34:41] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('type', 'intra'), ('applicable', 'feb'), ('username', 'Admin@pds')])
[2026-02-16 20:34:43] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('type', 'intra'), ('applicable', 'feb'), ('username', 'Admin@pds')])
[2026-02-16 20:35:04] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('type', 'intra'), ('applicable', 'feb'), ('username', 'Admin@pds')])
[2026-02-16 20:35:41] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('type', 'intra'), ('applicable', 'feb'), ('username', 'Admin@pds')])
[2026-02-16 20:35:43] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('type', 'intra'), ('applicable', 'feb'), ('username', 'Admin@pds')])
[2026-02-16 20:35:44] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('type', 'intra'), ('applicable', 'feb'), ('username', 'Admin@pds')])
[2026-02-16 20:36:15] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('type', 'intra'), ('applicable', 'feb'), ('username', 'Admin@pds')])
[2026-02-16 20:36:16] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('type', 'intra'), ('applicable', 'feb'), ('username', 'Admin@pds')])
[2026-02-16 20:36:17] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('type', 'intra'), ('applicable', 'feb'), ('username', 'Admin@pds')])
[2026-02-16 20:36:45] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('type', 'intra'), ('applicable', 'feb'), ('username', 'Admin@pds')])
[2026-02-16 21:47:16] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('type', 'intra'), ('applicable', 'feb'), ('username', 'Admin@pds')])
[2026-02-16 21:59:49] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('type', 'intra'), ('applicable', 'feb'), ('username', 'Admin@pds')])
[2026-02-16 22:04:35] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('type', 'intra'), ('applicable', 'feb'), ('username', 'Admin@pds')])
[2026-02-16 22:14:48] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('type', 'intra'), ('applicable', 'feb'), ('username', 'Admin@pds')])
[2026-02-16 22:22:54] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('type', 'intra'), ('applicable', 'feb'), ('username', 'Admin@pds')])
[2026-02-16 22:41:39] User ->  Optimization Start Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('type', 'inter'), ('applicable', 'feb'), ('username', 'Admin@pds')])
