[2025-02-25 00:00:25] User -> Normal FPS InActive -> admin@pds| PKPS Kadakol
[2025-02-25 00:00:28] User -> Normal FPS Active -> admin@pds| PKPS Kadakol
[2025-02-25 00:00:32] User ->Model FPS InActive -> admin@pds| Gram Mandal Maninagar
[2025-02-25 00:00:35] User ->Model FPS Active -> admin@pds| Gram Mandal Maninagar
[2025-02-25 00:04:40] User ->Model FPS InActive -> admin@pds| Gram Mandal Maninagar
[2025-02-25 00:04:42] User ->Model FPS Active -> admin@pds| Gram Mandal Maninagar
[2025-02-25 00:09:39] User -> User Add ->admin@pds| Requested JSON -> {"newusername":"xyz@pds","district":"Ballari","newpassword":"xyz"} | xyz@pds
[2025-02-25 00:20:57] User -> Verify User ->admin@pds| Requested JSON -> {"uid":"67bcbceb67a5a"} | xyz@pds
[2025-02-25 00:22:06] User -> Delete User ->admin@pds| Requested JSON -> {"uid":"67bcbceb67a5a"} | xyz@pds
[2025-02-25 10:59:42] User -> District added ->admin@pds| Requested JSON -> {"name":"demo"}
[2025-02-25 11:00:16] User -> District Name Edit->admin@pds| Requested JSON -> {"name":"test","uid":"67bd554630705"}
[2025-02-25 11:01:21] User -> District deleted -> admin@pds| Requested JSON -> {"uid":"67bd554630705"} | Test
[2025-02-25 11:01:49] User -> User Add ->admin@pds| Requested JSON -> {"newusername":"xyz@pds","district":"Ballari","newpassword":"xyz"} | xyz@pds
[2025-02-25 11:07:11] User -> Verify User ->admin@pds| Requested JSON -> {"uid":"67bd55c5992e0"} | xyz@pds
[2025-02-25 11:12:08] User -> Block User ->admin@pds| Requested JSON -> {"uid":"67bd55c5992e0"} | xyz@pds
[2025-02-25 11:12:35] User -> Verify User ->admin@pds| Requested JSON -> {"uid":"67bd55c5992e0"} | xyz@pds
[2025-02-25 11:12:46] User -> Delete User ->admin@pds| Requested JSON -> {"uid":"67bd55c5992e0"} | xyz@pds
[2025-02-25 11:13:09] User -> Send  Message ->admin@pds| Requested JSON -> {"message":"helloooo","uniqueid":"all"} | Yadgir@pds
[2025-02-25 11:13:37] User -> Delete Message ->admin@pds| Requested JSON -> hello how are you? | 
[2025-02-25 11:13:41] User -> Delete Message ->admin@pds| Requested JSON -> hello hi  | 
[2025-02-25 11:13:47] User -> Delete Message ->admin@pds| Requested JSON -> helo | 
[2025-02-25 11:13:53] User -> Delete Message ->admin@pds| Requested JSON -> helloooo | Bagalkote@pds
[2025-02-25 11:25:05] User -> Send Message ->admin@pds| Requested JSON ->{"message":"hello","uniqueid":"all"} | Bagalkote@pds
[2025-02-25 11:25:05] User -> Send Message ->admin@pds| Requested JSON ->{"message":"hello","uniqueid":"all"} | Ballari@pds
[2025-02-25 11:25:05] User -> Send Message ->admin@pds| Requested JSON ->{"message":"hello","uniqueid":"all"} | Bangalore@pds
[2025-02-25 11:25:05] User -> Send Message ->admin@pds| Requested JSON ->{"message":"hello","uniqueid":"all"} | Belagavi@pds
[2025-02-25 11:25:05] User -> Send Message ->admin@pds| Requested JSON ->{"message":"hello","uniqueid":"all"} | Bengaluru Rural@pds
[2025-02-25 11:25:05] User -> Send Message ->admin@pds| Requested JSON ->{"message":"hello","uniqueid":"all"} | Bidar@pds
[2025-02-25 11:25:05] User -> Send Message ->admin@pds| Requested JSON ->{"message":"hello","uniqueid":"all"} | Chamarajanagara@pds
[2025-02-25 11:25:05] User -> Send Message ->admin@pds| Requested JSON ->{"message":"hello","uniqueid":"all"} | Chikkaballapura@pds
[2025-02-25 11:25:05] User -> Send Message ->admin@pds| Requested JSON ->{"message":"hello","uniqueid":"all"} | Chikkamagaluru@pds
[2025-02-25 11:25:06] User -> Send Message ->admin@pds| Requested JSON ->{"message":"hello","uniqueid":"all"} | Chitradurga@pds
[2025-02-25 11:25:06] User -> Send Message ->admin@pds| Requested JSON ->{"message":"hello","uniqueid":"all"} | Dakshina Kannada@pds
[2025-02-25 11:25:06] User -> Send Message ->admin@pds| Requested JSON ->{"message":"hello","uniqueid":"all"} | Davanagere@pds
[2025-02-25 11:25:06] User -> Send Message ->admin@pds| Requested JSON ->{"message":"hello","uniqueid":"all"} | Dharwad@pds
[2025-02-25 11:25:06] User -> Send Message ->admin@pds| Requested JSON ->{"message":"hello","uniqueid":"all"} | Gadag@pds
[2025-02-25 11:25:06] User -> Send Message ->admin@pds| Requested JSON ->{"message":"hello","uniqueid":"all"} | Hassan@pds
[2025-02-25 11:25:06] User -> Send Message ->admin@pds| Requested JSON ->{"message":"hello","uniqueid":"all"} | Haveri@pds
[2025-02-25 11:25:06] User -> Send Message ->admin@pds| Requested JSON ->{"message":"hello","uniqueid":"all"} | Kalaburagi@pds
[2025-02-25 11:25:06] User -> Send Message ->admin@pds| Requested JSON ->{"message":"hello","uniqueid":"all"} | Kodagu@pds
[2025-02-25 11:25:07] User -> Send Message ->admin@pds| Requested JSON ->{"message":"hello","uniqueid":"all"} | Kolar@pds
[2025-02-25 11:25:07] User -> Send Message ->admin@pds| Requested JSON ->{"message":"hello","uniqueid":"all"} | Koppal@pds
[2025-02-25 11:25:07] User -> Send Message ->admin@pds| Requested JSON ->{"message":"hello","uniqueid":"all"} | Mandya@pds
[2025-02-25 11:25:07] User -> Send Message ->admin@pds| Requested JSON ->{"message":"hello","uniqueid":"all"} | Mysuru@pds
[2025-02-25 11:25:07] User -> Send Message ->admin@pds| Requested JSON ->{"message":"hello","uniqueid":"all"} | Raichur@pds
[2025-02-25 11:25:07] User -> Send Message ->admin@pds| Requested JSON ->{"message":"hello","uniqueid":"all"} | Ramanagara@pds
[2025-02-25 11:25:07] User -> Send Message ->admin@pds| Requested JSON ->{"message":"hello","uniqueid":"all"} | Shivamogga@pds
[2025-02-25 11:25:07] User -> Send Message ->admin@pds| Requested JSON ->{"message":"hello","uniqueid":"all"} | Tumakuru@pds
[2025-02-25 11:25:07] User -> Send Message ->admin@pds| Requested JSON ->{"message":"hello","uniqueid":"all"} | Udupi@pds
[2025-02-25 11:25:07] User -> Send Message ->admin@pds| Requested JSON ->{"message":"hello","uniqueid":"all"} | Uttara Kannada@pds
[2025-02-25 11:25:07] User -> Send Message ->admin@pds| Requested JSON ->{"message":"hello","uniqueid":"all"} | Vijayanagar@pds
[2025-02-25 11:25:07] User -> Send Message ->admin@pds| Requested JSON ->{"message":"hello","uniqueid":"all"} | Vijayapura@pds
[2025-02-25 11:25:07] User -> Send Message ->admin@pds| Requested JSON ->{"message":"hello","uniqueid":"all"} | Yadgir@pds
[2025-02-25 11:25:07] User -> Send  Message ->admin@pds| Requested JSON -> {"message":"hello","uniqueid":"all"} | Yadgir@pds
[2025-02-25 11:25:31] User -> Send  Message ->admin@pds| Requested JSON -> {"message":"hello","uniqueid":"67b617a1a9aa7"} | Bagalkote@pds
[2025-02-25 11:30:43] User -> Save Data | approve admin change yes ->admin@pds| 46 - FPS12908 - FRice
[2025-02-25 11:30:43] User -> Save Data | approve admin change yes ->admin@pds| 48 - FPS12909 - FRice
[2025-02-25 11:30:43] User -> Save Data | approve admin change yes ->admin@pds| 51 - FPS12906 - FRice
[2025-02-25 11:36:35] User -> Save Data | approve admin change yes ->admin@pds| 47 - FPS12981 - FRice
[2025-02-25 11:36:35] User -> Save Data | approve admin change yes ->admin@pds| 51 - FPS12905 - FRice
[2025-02-25 11:36:35] User -> Save Data | approve admin change yes ->admin@pds| 51 - FPS12907 - FRice
[2025-02-25 11:36:35] User -> Save Data | approve admin change yes ->admin@pds| 51 - FPS12983 - FRice
[2025-02-25 11:36:35] User -> Save Data | approve admin change yes ->admin@pds| 52 - FPS13064 - FRice
[2025-02-25 11:36:35] User -> Save Data | approve admin change yes ->admin@pds| 232 - FPS1004 - Rice
[2025-02-25 11:36:36] User -> Save Data | approve admin change yes ->admin@pds| 232 - FPS1017 - Rice
